ethnicityId,salaryBucketId,departmentId,gender
1,2,59,M
1,1,59,M
2,1,59,M
1,1,59,M
1,1,59,M
31,2,59,M
31,2,59,M
1,2,59,F
2,1,59,M
2,1,59,F
2,1,59,M
2,1,59,M
1,2,59,F
2,0,59,M
2,1,59,M
1,1,59,F
1,1,59,F
1,2,59,M
1,1,59,M
1,2,59,M
1,2,59,M
1,2,59,M
1,1,59,F
1,2,59,M
1,1,59,M
1,1,59,M
1,2,59,F
1,1,59,M
1,1,59,M
1,1,59,F
1,1,59,F
1,2,59,M
1,1,59,F
1,1,59,M
1,1,59,M
1,1,59,M
1,1,59,M
1,1,59,M
1,1,59,F
1,1,59,M
1,0,59,F
1,1,59,F
2,1,59,F
2,1,59,F
1,2,59,M
2,1,59,M
2,1,59,M
2,0,59,F
2,1,59,M
1,1,59,M
2,1,59,F
2,2,59,F
1,1,59,F
1,2,59,M
2,1,59,M
4,2,59,F
2,1,59,M
1,1,59,M
1,1,59,F
2,1,59,F
1,1,59,M
1,1,59,F
2,2,59,F
2,1,59,M
3,1,59,F
1,2,59,M
1,2,59,M
1,2,59,M
2,2,59,M
1,1,59,M
1,2,59,M
1,2,59,F
1,1,59,F
2,1,59,F
1,2,59,M
2,2,59,M
1,1,59,F
1,1,59,F
1,2,59,M
2,1,59,M
1,1,59,M
1,1,59,F
2,1,59,F
1,2,59,F
1,2,59,F
2,2,59,M
2,1,59,F
1,0,59,F
2,2,59,F
1,0,59,F
1,1,59,F
2,1,59,M
1,2,59,F
1,1,59,M
1,1,59,M
31,2,59,M
1,1,59,M
1,2,59,M
1,1,59,F
1,1,59,M
1,1,59,M
2,2,59,F
2,1,59,M
2,1,59,M
1,1,59,F
2,0,59,F
2,1,59,F
2,1,59,F
1,1,59,F
2,0,59,M
1,2,59,M
2,0,59,M
1,1,59,M
2,1,59,M
1,0,59,M
1,1,59,M
1,1,59,M
1,1,59,M
1,1,59,F
2,1,59,F
2,0,59,F
1,2,59,M
2,1,59,M
2,1,59,F
1,2,59,F
2,0,59,F
1,2,59,M
2,1,59,M
1,1,59,F
2,1,59,M
1,1,59,F
1,1,59,M
1,1,59,M
1,0,59,F
2,1,59,M
1,1,59,M
2,2,59,F
2,1,59,M
2,1,59,M
1,2,59,F
1,2,59,F
1,1,59,M
1,1,59,F
1,1,59,M
1,1,59,F
1,1,59,M
2,1,59,M
2,2,59,F
2,1,59,F
31,1,59,M
2,0,59,M
2,0,59,M
1,1,59,M
2,1,59,F
1,1,59,M
2,2,59,M
1,1,59,M
1,2,59,M
2,2,59,F
2,1,59,M
1,2,59,F
1,2,59,F
1,2,59,M
1,2,59,F
2,1,59,F
1,1,59,F
1,1,59,M
1,2,59,M
1,1,59,M
1,0,59,M
2,0,59,F
1,1,59,F
2,1,59,M
1,2,59,F
2,1,59,M
2,1,59,M
5,2,59,M
1,2,59,M
1,2,59,M
2,2,59,F
2,2,59,M
1,1,59,M
1,2,59,M
1,1,59,F
31,1,59,M
1,1,59,F
1,1,59,M
2,1,59,F
1,0,59,F
1,0,59,F
1,1,59,F
1,1,59,M
1,2,59,F
1,2,59,M
1,2,59,F
2,1,59,M
1,1,59,M
1,2,59,M
1,1,59,M
1,1,59,M
1,1,59,F
1,2,59,M
1,1,59,M
1,2,59,M
1,2,59,F
1,1,59,F
1,1,59,M
1,2,59,M
1,1,59,M
2,2,59,F
1,1,59,F
1,1,59,M
1,1,59,M
2,0,59,M
2,0,59,M
2,1,59,F
1,0,59,M
1,1,59,M
1,1,59,F
1,0,59,F
1,1,59,F
2,1,59,M
1,2,59,M
1,1,59,M
1,1,59,F
1,1,59,M
1,2,59,M
1,2,59,M
1,2,59,M
1,2,59,M
1,2,59,M
1,2,59,F
1,1,59,M
1,1,59,M
2,1,59,F
1,2,59,M
1,1,59,M
1,1,59,M
1,2,59,M
1,1,59,M
1,1,59,M
1,1,59,F
1,2,59,F
1,1,59,M
2,0,59,M
1,1,59,M
2,1,59,M
1,1,59,F
3,2,59,M
2,0,59,M
1,1,59,M
1,2,59,M
1,1,59,M
1,1,59,M
1,1,59,M
2,0,59,F
1,1,59,M
1,1,59,M
1,2,59,F
1,2,59,M
1,2,59,M
1,1,59,M
2,0,59,M
2,1,59,F
1,2,59,M
1,2,59,M
1,1,59,F
1,2,59,F
1,1,59,M
1,1,59,M
3,1,59,F
3,1,59,M
3,1,59,M
1,1,59,F
3,1,59,M
3,1,59,F
3,1,59,F
3,1,59,F
1,2,59,F
1,2,59,M
1,2,59,F
31,1,59,M
1,1,59,F
1,1,59,M
1,1,59,M
3,1,59,F
3,1,59,F
1,1,59,F
1,1,59,F
1,2,59,M
1,1,59,M
2,1,59,M
1,1,59,F
2,1,59,F
1,2,59,M
1,2,59,M
1,2,59,F
1,1,59,F
1,1,59,F
1,2,59,M
1,1,59,M
1,0,59,M
1,1,59,M
1,1,59,M
31,1,59,F
1,1,59,M
1,1,59,M
1,0,59,M
1,1,59,M
1,1,59,M
1,2,59,M
1,2,59,F
1,1,59,M
1,2,59,M
1,2,59,M
1,1,59,M
1,1,59,M
2,1,59,F
1,1,59,M
1,1,59,M
1,1,59,M
1,1,59,F
1,1,59,F
2,1,59,F
1,1,59,M
1,2,59,F
1,1,59,M
1,2,59,M
2,1,59,M
2,1,59,M
1,0,59,M
2,1,59,M
1,2,59,M
1,2,59,F
1,2,59,M
1,2,59,M
1,2,59,M
1,1,59,M
2,1,59,M
1,1,59,M
2,1,59,M
2,0,59,F
1,2,59,F
1,0,59,F
1,1,59,M
1,0,59,F
1,2,59,M
1,0,59,M
1,2,59,M
1,1,59,M
1,2,59,M
1,1,59,M
2,1,59,F
2,1,59,M
1,1,59,F
1,1,59,F
1,1,59,F
2,0,59,M
1,1,59,M
1,2,59,M
2,1,59,M
1,2,59,M
1,1,59,M
1,1,59,F
1,2,59,M
1,1,59,M
1,1,59,M
2,1,59,M
2,1,59,M
1,2,59,M
2,1,59,F
1,1,59,F
1,1,59,M
2,1,59,F
2,1,59,M
1,1,59,M
2,1,59,M
2,2,59,M
2,1,59,M
1,1,59,M
2,1,59,F
2,1,59,F
1,1,59,M
1,2,59,M
1,1,59,M
1,2,59,M
1,2,59,F
1,2,59,M
1,2,59,M
1,2,59,F
1,1,59,M
2,1,59,M
1,1,59,F
1,2,59,M
1,2,59,F
1,1,59,M
1,2,59,M
1,1,59,F
1,1,59,M
4,2,59,F
1,2,59,M
1,2,59,F
2,1,59,F
1,2,59,F
2,2,59,F
1,2,59,F
1,2,59,F
2,2,59,F
2,1,59,F
1,1,59,F
1,1,59,M
1,1,59,F
2,1,59,M
1,1,59,M
1,1,59,M
1,1,59,M
2,1,59,M
1,1,59,F
1,1,59,M
1,1,59,M
1,1,59,M
1,0,59,M
1,0,59,M
2,1,59,M
1,2,59,F
1,1,59,M
1,1,59,F
1,1,59,F
1,0,59,M
1,1,59,F
1,0,59,M
1,2,59,F
1,1,59,M
1,1,59,M
2,2,59,M
2,2,59,M
2,1,59,F
1,1,59,F
1,1,59,M
1,1,59,F
1,1,59,M
31,2,59,M
2,1,59,F
1,1,59,M
1,2,59,M
1,1,59,M
1,1,59,M
2,1,59,F
2,2,59,M
1,1,59,F
1,2,59,M
1,0,59,M
2,0,59,F
1,1,59,M
2,0,59,M
1,1,59,M
2,1,59,M
1,2,59,M
1,1,59,F
1,1,59,M
2,1,59,M
2,1,59,M
2,0,59,F
1,2,59,F
2,1,59,M
1,1,59,M
1,2,59,M
3,2,59,F
1,2,59,M
1,1,59,F
2,1,59,F
1,1,59,M
2,1,59,F
2,1,59,M
1,1,59,M
1,2,59,M
1,1,59,M
2,0,59,F
2,1,59,M
2,1,59,M
1,1,59,M
1,1,59,M
1,2,59,M
1,1,59,M
1,2,59,M
2,2,59,M
2,1,59,F
1,1,59,M
1,1,59,M
1,2,59,F
2,2,59,M
1,2,59,M
1,2,59,M
1,2,59,M
2,0,59,F
2,1,59,F
2,1,59,M
2,1,59,M
1,2,59,M
1,2,59,M
1,0,59,F
1,1,59,M
1,2,59,M
2,2,59,M
4,1,59,M
1,1,59,F
1,1,59,M
1,2,59,M
1,1,59,F
1,1,59,M
1,1,59,M
2,0,59,F
1,1,59,M
2,2,59,M
1,1,59,F
1,0,59,F
1,1,59,M
1,1,59,F
1,1,59,M
1,2,59,M
1,1,59,M
1,2,59,F
1,1,59,M
1,1,59,F
1,0,59,F
1,2,59,M
1,0,59,M
1,1,59,M
1,1,59,M
1,1,59,M
2,1,59,M
1,1,59,M
1,1,59,M
1,1,59,M
1,1,59,M
2,1,59,F
1,1,59,M
1,1,59,F
1,0,59,F
1,1,59,F
1,1,59,M
1,0,59,M
2,1,59,F
1,1,59,M
1,1,59,M
1,1,59,M
2,1,59,M
1,1,59,F
1,1,59,M
1,2,59,M
1,1,59,F
1,1,59,F
2,1,59,F
2,0,59,F
1,2,59,M
1,2,59,M
2,1,59,F
1,1,59,F
2,1,59,F
1,1,59,F
2,1,59,F
2,1,59,F
1,1,59,M
2,1,59,M
1,2,59,F
1,1,59,F
1,1,59,M
1,2,59,M
1,2,59,M
1,1,59,M
1,2,59,F
1,1,59,M
1,1,59,M
1,2,59,M
1,1,59,M
1,1,59,F
2,2,59,F
2,1,59,M
1,1,59,F
1,2,59,M
1,2,59,M
2,0,59,M
1,1,59,F
2,1,59,M
2,1,59,M
2,0,59,F
2,0,59,F
2,2,59,F
1,1,59,M
2,1,59,M
2,1,59,M
1,1,59,M
1,1,59,F
1,2,59,M
1,1,59,M
1,2,59,M
2,0,59,M
1,0,59,F
2,1,59,M
2,1,59,M
1,2,59,M
2,1,59,F
2,0,59,M
1,2,59,M
1,1,59,M
1,1,59,M
1,1,59,M
1,1,59,M
2,0,59,F
2,1,59,M
2,1,59,M
1,2,59,M
2,1,59,M
2,2,59,M
1,1,59,F
2,2,59,F
1,2,59,F
1,2,59,M
2,1,59,M
1,1,59,F
1,2,59,M
1,1,59,F
1,1,59,M
2,1,59,F
1,1,59,M
1,1,59,F
1,2,59,M
1,2,59,M
1,1,59,F
3,2,59,F
1,2,59,M
1,1,59,M
2,1,59,M
1,1,59,M
1,1,59,M
1,1,59,F
1,1,59,M
1,2,59,F
1,1,59,M
1,1,59,F
1,1,59,F
2,0,59,F
2,1,59,F
1,2,59,M
1,1,59,F
1,2,59,M
1,2,59,M
1,2,59,M
1,0,59,F
2,1,59,M
2,1,59,M
1,1,59,M
1,1,59,M
1,2,59,M
1,2,59,M
1,1,59,M
2,1,59,F
1,1,59,M
31,2,59,M
1,1,59,F
1,2,59,M
1,2,59,M
2,1,59,F
2,1,59,M
1,1,59,F
2,1,59,F
31,1,59,F
1,2,59,M
1,2,59,M
1,2,59,M
2,1,59,M
1,0,59,F
2,2,59,M
2,0,59,M
1,2,59,F
1,1,59,M
1,2,59,M
1,1,59,M
1,1,59,M
1,1,59,F
1,1,59,M
2,1,59,M
2,1,59,M
1,1,59,M
2,0,59,M
1,0,59,M
1,0,59,M
31,1,59,M
4,2,59,M
1,1,59,M
2,2,59,M
2,1,59,F
1,2,59,M
1,1,59,M
1,1,59,M
1,0,59,F
1,1,59,F
1,1,59,F
1,1,59,F
4,2,59,F
1,2,59,M
2,2,59,M
2,1,59,M
1,2,59,M
1,2,59,M
3,1,59,M
2,1,59,M
2,2,59,F
1,0,59,F
1,0,59,F
1,1,59,F
1,2,59,M
2,1,59,M
1,1,59,M
1,2,59,F
2,1,59,F
3,1,59,M
1,2,59,M
1,1,59,F
2,1,59,F
2,0,59,F
1,1,59,M
1,1,59,F
1,0,59,M
1,1,59,M
1,1,59,F
1,2,59,M
1,1,59,M
1,1,59,M
1,1,59,M
1,1,59,M
2,1,59,F
1,1,59,F
1,2,59,M
1,2,59,F
1,1,59,M
31,2,59,M
1,1,59,M
1,1,59,M
1,1,59,F
1,2,59,F
1,0,59,F
4,1,59,M
1,2,59,M
31,2,59,M
1,1,59,M
2,0,59,M
1,2,59,M
1,2,59,M
1,1,59,M
1,1,59,M
1,1,59,F
2,1,59,M
1,1,59,F
2,1,59,F
2,1,59,F
2,0,59,F
2,1,59,F
1,1,59,M
1,2,59,M
1,1,59,M
1,1,59,M
2,1,59,F
2,1,59,F
1,1,59,F
1,2,59,M
1,2,59,F
2,1,59,M
2,0,59,F
2,1,59,M
1,1,59,M
2,2,59,M
1,1,59,F
2,1,59,M
2,0,59,M
2,1,59,F
1,2,59,M
1,2,59,M
1,1,59,M
2,1,59,M
1,1,59,F
2,0,59,F
1,2,59,M
2,0,59,M
2,1,59,M
2,2,59,M
1,1,59,F
2,1,59,F
1,1,59,M
1,1,59,M
2,0,59,M
2,0,59,F
2,0,59,F
31,2,59,M
1,2,59,M
2,2,59,M
2,1,59,F
2,1,59,F
2,1,59,F
31,0,59,F
2,1,59,F
2,1,59,M
1,0,59,M
2,0,59,M
2,0,59,M
2,1,59,M
1,2,59,M
1,1,59,F
4,1,59,M
1,1,59,M
1,2,59,M
1,1,59,M
1,0,59,F
31,2,59,M
1,1,59,M
1,1,59,M
1,1,59,M
1,1,59,M
5,1,59,M
2,1,59,F
1,2,59,M
1,0,59,M
1,2,59,M
1,2,59,F
1,1,59,M
2,1,59,F
2,1,59,M
31,1,59,F
1,1,59,M
1,1,59,M
1,1,59,F
1,1,59,F
1,1,59,F
2,1,59,F
1,2,59,M
1,1,59,M
1,2,59,M
2,0,59,M
1,1,59,M
2,1,59,F
31,1,59,M
1,2,59,M
1,2,59,M
2,2,59,M
1,1,59,M
2,2,59,F
1,1,59,M
1,1,59,M
1,2,59,F
2,1,59,M
2,1,59,F
1,2,59,M
1,1,59,M
1,2,59,F
2,0,59,F
2,1,59,F
1,1,59,M
2,1,59,M
1,1,59,F
1,2,59,M
1,2,59,M
1,2,59,M
1,1,59,F
1,1,59,M
1,1,59,F
1,1,59,M
1,1,59,M
1,1,59,M
1,1,59,M
1,1,59,F
1,1,59,M
1,2,59,M
3,1,59,M
1,2,59,M
1,1,59,M
1,1,59,M
2,1,59,M
1,1,59,F
1,2,59,M
1,2,59,M
1,2,59,M
2,0,59,M
2,2,59,M
2,1,59,M
1,1,59,F
1,2,59,F
1,1,59,F
31,1,59,M
2,1,59,F
1,1,59,M
1,1,59,M
1,2,59,M
1,1,59,M
2,1,59,F
2,1,59,F
2,1,59,M
1,1,59,M
1,1,59,M
2,0,59,M
2,0,59,M
1,1,59,F
2,1,59,F
2,1,59,F
2,1,59,M
2,1,59,M
1,1,59,M
31,2,59,M
1,1,59,M
2,2,59,M
1,1,59,M
1,2,59,M
2,1,59,M
2,1,59,M
1,1,59,F
1,1,59,M
2,1,59,F
2,2,59,M
3,0,59,F
1,2,59,F
1,1,59,F
2,2,59,M
2,0,59,M
1,1,59,M
2,1,59,M
1,1,59,M
1,1,59,M
1,2,59,F
2,1,59,M
1,2,59,M
1,1,59,M
1,0,59,F
1,1,59,M
2,1,59,F
1,2,59,F
1,1,59,F
2,1,59,F
2,2,59,F
1,2,59,M
2,1,59,F
1,1,59,M
2,1,59,F
2,1,59,M
2,1,59,M
2,2,59,F
1,1,59,M
1,1,59,M
2,1,59,F
2,1,59,F
2,1,59,F
2,1,59,M
1,1,59,F
2,1,59,F
1,1,59,F
1,1,59,F
2,2,59,M
1,1,59,M
2,0,59,F
1,1,59,M
2,1,59,F
1,2,59,M
1,1,59,F
2,1,59,F
1,1,59,F
1,1,59,M
1,0,59,M
1,1,59,M
2,1,59,M
2,1,59,M
1,2,59,F
1,1,59,M
1,2,59,M
2,1,59,F
1,1,59,M
1,1,59,M
31,1,59,F
1,1,59,M
1,2,59,M
2,2,59,M
1,2,59,M
2,2,59,M
2,1,59,F
2,1,59,F
2,1,59,M
1,0,59,F
2,1,59,M
2,1,59,F
2,2,59,M
1,1,59,M
1,2,59,M
2,2,59,F
2,1,59,F
2,0,59,M
2,1,59,M
1,2,59,M
1,1,59,M
1,1,59,F
2,2,59,F
1,1,59,M
2,0,59,M
1,2,59,M
1,1,59,M
1,1,59,M
2,2,59,M
2,0,59,F
2,1,59,M
2,2,59,F
2,1,59,F
2,1,59,M
1,2,59,F
1,0,59,F
2,0,59,F
2,1,59,M
1,2,59,M
2,1,59,F
2,1,59,M
1,2,59,M
2,2,59,F
1,2,59,M
2,1,59,F
2,1,59,M
3,1,59,M
1,2,59,M
1,1,59,M
1,1,59,F
31,1,59,F
2,2,59,F
1,0,59,M
2,1,59,F
2,1,59,F
2,0,59,F
2,1,59,F
2,1,59,F
2,1,59,M
2,1,59,M
1,1,59,F
1,1,59,M
2,0,59,F
1,2,59,F
1,1,59,M
1,1,59,M
1,1,59,M
1,1,59,M
1,1,59,M
2,1,59,F
2,1,59,M
1,2,59,M
1,1,59,F
1,2,59,M
2,2,59,M
2,1,59,M
31,1,59,M
1,2,59,M
1,2,59,M
2,1,59,M
1,1,59,M
2,2,59,M
2,1,59,M
2,1,59,F
1,1,59,F
2,1,59,F
1,1,59,F
1,2,59,M
1,2,59,M
2,2,59,M
1,1,59,F
1,1,59,M
2,1,59,F
1,1,59,F
2,1,59,F
2,1,59,F
2,1,59,F
1,1,59,F
2,1,59,F
2,2,59,M
2,2,59,M
1,2,59,M
1,1,59,M
2,2,59,M
2,1,59,F
2,1,59,M
1,2,59,F
2,1,59,M
1,1,59,M
2,0,59,F
2,1,59,F
2,1,59,M
2,1,59,M
2,1,59,F
31,1,59,M
2,2,59,F
2,1,59,M
2,1,59,F
2,0,59,F
1,1,59,F
1,1,59,M
1,1,59,M
2,2,59,F
1,2,59,M
1,2,59,F
1,1,59,M
1,1,59,M
2,1,59,M
2,0,59,M
2,1,59,M
1,1,59,M
1,0,59,M
1,0,59,F
1,1,59,M
1,1,59,M
1,2,59,M
1,1,59,M
2,1,59,F
1,2,59,M
1,1,59,F
1,1,59,M
1,1,59,M
1,1,59,M
1,1,59,F
1,2,59,F
2,0,59,F
1,2,59,M
31,1,59,M
1,1,59,M
1,1,59,M
1,2,59,M
1,2,59,F
1,1,59,M
1,0,59,F
2,2,59,M
1,2,59,F
1,1,59,M
1,2,59,M
2,1,59,F
1,1,59,M
1,0,59,F
1,1,59,M
1,1,59,M
2,1,59,M
1,1,59,M
2,1,59,F
1,2,59,M
1,1,59,F
1,0,59,F
1,1,59,M
1,0,59,M
2,1,59,M
1,1,59,M
1,1,59,M
1,1,59,F
1,1,59,F
1,2,59,M
1,1,59,F
2,2,59,F
1,0,59,F
1,2,59,M
1,1,59,M
1,1,59,F
1,2,59,F
1,1,59,F
1,0,59,M
1,2,59,M
1,1,59,M
1,2,59,M
2,1,59,F
4,1,59,F
1,1,59,M
1,1,59,M
1,2,59,M
1,0,59,M
1,2,59,F
1,2,59,M
1,2,59,M
1,2,59,F
1,2,59,M
2,1,59,M
1,2,59,M
2,1,59,M
1,1,59,F
1,1,59,F
2,1,59,M
2,1,59,M
1,1,59,M
1,2,59,M
1,2,59,M
1,1,59,M
1,1,59,M
1,2,59,F
1,1,59,M
1,2,59,M
1,1,59,M
1,1,59,M
1,2,59,M
1,2,59,M
1,2,59,F
1,2,59,M
1,2,59,M
1,2,59,M
1,1,59,M
1,1,59,F
1,2,59,M
1,1,59,F
1,1,59,M
1,1,59,M
1,1,59,M
1,1,59,F
1,2,59,M
1,1,59,M
4,1,59,F
1,2,59,M
2,1,59,F
1,2,59,M
1,2,59,M
1,2,59,M
1,1,59,F
1,1,59,M
31,2,59,M
2,1,59,M
1,1,59,M
1,1,59,M
31,1,59,F
1,1,59,F
2,1,59,F
1,1,59,F
1,1,59,F
2,2,59,F
2,0,59,M
1,1,59,M
1,1,59,F
1,1,59,M
2,1,59,M
2,1,59,M
2,1,59,M
1,1,59,M
2,1,59,F
1,1,59,M
1,2,59,M
1,1,59,F
2,1,59,M
2,0,59,M
1,2,59,M
1,2,59,M
1,2,59,M
1,1,59,M
1,1,59,M
2,2,59,M
1,2,59,M
1,0,59,M
1,2,59,M
1,2,59,F
31,1,59,F
1,1,59,F
2,2,59,M
1,2,59,M
1,0,59,F
2,2,59,F
1,1,59,F
2,1,59,M
2,1,59,M
1,2,59,M
1,2,59,M
1,0,59,M
1,2,59,F
2,1,59,M
1,1,59,F
1,2,59,M
1,2,59,M
1,1,59,M
1,1,59,F
2,1,59,M
1,1,59,M
2,2,59,M
2,1,59,M
1,2,59,M
1,1,59,F
1,1,59,M
2,1,59,F
1,1,59,F
1,2,59,M
2,1,59,F
1,1,59,M
1,1,59,F
1,1,59,F
1,1,59,F
1,2,59,M
1,1,59,F
2,1,59,M
1,1,59,M
1,2,59,M
1,1,59,M
1,1,59,M
1,1,59,F
1,1,59,M
1,1,59,F
1,1,59,M
1,1,59,F
1,2,59,M
1,1,59,M
1,1,59,F
1,2,59,M
1,1,59,M
1,2,59,M
1,2,59,F
1,2,59,M
2,2,59,M
2,0,59,M
2,2,59,M
1,1,59,M
2,1,59,M
2,0,59,M
2,1,59,M
1,2,59,M
1,2,59,M
1,2,59,M
2,1,59,M
1,2,59,M
2,1,59,M
2,1,59,M
2,2,59,M
1,1,59,M
1,2,59,F
1,1,59,F
1,1,59,M
1,2,59,M
1,2,59,M
1,2,59,M
1,1,59,M
1,1,59,M
1,2,59,M
1,1,59,M
1,1,59,F
1,1,59,M
31,1,59,M
1,1,59,M
1,2,59,F
1,1,59,F
1,1,59,M
1,1,59,F
1,0,59,M
1,1,59,M
1,1,59,M
1,1,59,F
1,0,59,F
1,1,59,M
1,1,59,M
1,2,59,M
1,1,59,F
1,1,59,M
1,1,59,M
1,2,59,M
2,2,59,F
2,2,59,M
1,2,59,F
1,1,59,M
2,1,59,F
1,0,59,F
1,1,59,M
1,1,59,M
1,0,59,F
1,1,59,M
1,2,59,M
1,1,59,M
1,2,59,M
1,1,59,M
1,2,59,M
1,1,59,M
2,0,59,F
1,0,59,F
1,2,59,F
1,2,59,M
1,2,59,F
1,2,59,M
2,1,59,F
1,1,59,M
1,1,59,M
1,1,59,M
5,1,59,F
1,1,59,F
1,1,59,F
2,1,59,F
1,1,59,M
1,2,59,F
1,1,59,M
1,1,59,M
1,2,59,M
1,1,59,M
1,1,59,M
1,1,59,M
1,2,59,F
1,2,59,F
31,1,59,F
1,1,59,M
1,1,59,M
1,1,59,M
1,1,59,M
1,1,59,M
1,1,59,F
1,0,59,M
2,0,59,M
1,2,59,F
1,1,59,F
1,1,59,M
1,1,59,F
2,2,59,F
1,1,59,M
1,1,59,F
1,1,59,M
1,1,59,M
1,1,59,M
1,1,59,M
1,1,59,M
1,2,59,F
2,1,59,M
1,2,59,M
1,1,59,M
1,2,59,F
1,1,59,M
1,2,59,M
1,1,59,M
1,0,59,M
1,2,59,M
1,2,59,M
1,0,59,M
1,2,59,M
1,1,59,M
2,1,59,F
3,2,59,M
1,2,59,M
2,1,59,F
1,1,59,M
1,0,59,F
2,2,59,F
1,1,59,M
2,1,59,F
1,1,59,F
1,2,59,F
1,0,59,M
1,2,59,F
1,2,59,M
2,0,59,M
1,2,59,F
1,1,59,F
2,1,59,M
1,1,59,M
1,2,59,M
2,1,59,M
1,2,59,M
1,2,59,M
1,1,59,M
1,1,59,F
1,2,59,F
2,0,59,F
1,1,59,F
1,0,59,F
1,1,59,M
1,1,59,M
2,1,59,M
1,1,59,M
1,1,59,M
2,1,59,M
2,1,59,M
2,1,59,M
2,1,59,F
1,0,59,F
1,2,59,M
1,1,59,M
1,1,59,M
2,1,59,M
1,2,59,M
2,2,59,F
2,0,59,F
2,1,59,M
2,1,59,M
1,1,59,F
2,0,59,F
2,2,59,F
2,1,59,F
1,1,59,M
2,1,59,F
2,1,59,F
1,1,59,M
2,1,59,M
1,1,59,M
2,1,59,F
1,1,59,F
1,1,59,M
1,1,59,M
1,1,59,M
2,1,59,M
1,2,59,F
1,1,59,M
5,1,59,M
1,1,59,M
1,0,59,M
1,2,59,M
31,2,59,F
4,0,59,M
4,1,59,M
2,1,59,F
1,2,59,M
2,1,59,F
2,1,59,F
1,2,59,M
1,1,59,F
2,1,59,M
1,2,59,M
3,1,59,M
1,2,59,M
2,0,59,F
2,0,59,F
2,0,59,F
2,0,59,F
2,1,59,M
2,1,59,F
2,1,59,M
1,1,59,M
2,0,59,F
1,2,59,F
1,1,59,F
31,1,59,M
1,1,59,M
2,1,59,F
2,2,59,M
1,0,59,M
1,2,59,M
1,1,59,F
2,0,59,M
2,1,59,F
1,1,59,M
1,0,59,M
2,1,59,M
2,2,59,F
1,2,59,M
1,0,59,F
1,1,59,F
1,2,59,M
1,2,59,M
1,1,59,M
1,2,59,M
2,1,59,F
1,1,59,M
1,0,59,M
1,1,59,F
1,2,59,M
1,1,59,M
1,1,59,F
1,1,59,M
1,2,59,F
1,2,59,M
2,1,59,M
1,1,59,F
1,2,59,F
3,1,59,M
1,1,59,M
1,2,59,M
1,0,59,M
1,0,59,F
1,1,59,M
1,2,59,F
2,1,59,M
1,2,59,M
2,2,59,F
2,2,59,M
1,1,59,M
1,2,59,F
2,2,59,M
1,1,59,M
2,1,59,F
2,2,59,M
2,1,59,F
1,1,59,M
1,2,59,M
1,2,59,M
1,1,59,F
1,1,59,M
2,1,59,F
1,1,59,F
1,0,59,M
1,1,59,F
1,1,59,F
1,1,59,M
2,1,59,F
1,2,59,M
31,1,59,M
2,1,59,M
1,1,59,M
1,2,59,M
1,1,59,M
1,1,59,F
1,1,59,M
1,0,59,F
1,1,59,F
1,1,59,M
1,1,59,F
2,1,59,F
2,1,59,M
4,2,59,F
1,1,59,M
1,2,59,F
1,1,59,M
1,2,59,M
2,1,59,F
2,2,59,F
31,2,59,M
1,2,59,M
1,2,59,M
1,0,59,M
1,1,59,F
1,1,59,M
1,1,59,M
1,2,59,F
1,2,59,M
1,0,59,M
2,1,59,M
2,0,59,M
2,1,59,F
1,1,59,F
1,0,59,F
1,2,59,F
2,1,59,M
2,1,59,F
2,1,59,M
1,1,59,F
1,1,59,M
1,2,59,M
1,1,59,M
1,2,59,M
1,1,59,M
1,2,59,M
2,1,59,F
1,1,59,F
1,2,59,M
31,1,59,M
1,1,59,F
5,2,59,M
2,1,59,M
1,1,59,M
1,1,59,F
1,2,59,M
1,1,59,M
2,1,59,M
1,1,59,M
2,1,59,F
1,1,59,M
1,2,59,M
1,1,59,M
1,2,59,M
2,1,59,F
2,1,59,M
1,0,59,F
2,1,59,M
1,1,59,F
1,2,59,F
1,1,59,F
2,1,59,F
2,1,59,M
1,1,59,F
2,2,59,F
2,1,59,F
2,1,59,F
2,2,59,F
1,1,59,F
1,1,59,M
2,1,59,F
1,1,59,M
2,1,59,F
1,1,59,F
2,1,59,M
1,1,59,M
2,2,59,M
1,2,59,M
3,1,59,M
3,1,59,M
31,1,59,M
1,1,59,M
3,1,59,F
3,1,59,M
1,1,59,F
3,1,59,M
1,1,59,M
1,2,59,M
1,2,59,M
1,1,59,F
1,1,59,M
1,2,59,M
1,2,59,F
1,1,59,M
2,1,59,F
1,1,59,M
1,1,59,M
31,0,59,F
2,0,59,F
1,2,59,M
1,2,59,F
1,1,59,M
1,1,59,M
2,1,59,M
1,1,59,M
2,1,59,F
2,1,59,F
1,1,59,F
1,1,59,M
1,1,59,F
1,2,59,M
1,1,59,M
3,1,59,F
1,1,59,F
1,1,59,F
1,1,59,M
1,0,59,M
1,2,59,M
1,1,59,M
1,2,59,M
1,1,59,M
1,1,59,F
2,1,59,M
1,1,59,M
2,1,59,F
1,0,59,F
1,1,59,M
1,1,59,M
3,1,59,M
1,2,59,F
3,1,59,M
1,2,59,M
31,1,59,M
1,1,59,F
2,1,59,F
2,2,59,M
2,2,59,M
1,2,59,M
2,0,59,M
2,0,59,F
1,1,59,F
1,1,59,M
1,2,59,F
1,2,59,M
4,1,59,M
1,1,59,F
1,1,59,M
2,1,59,M
1,1,59,M
1,1,59,M
1,1,59,M
1,0,59,F
1,2,59,M
1,1,59,F
1,2,59,F
